x,y,z,timestamp
-162.62740005009235,73,-164.5,2026-01-29T14:52:29.721Z
-162.82436052753513,73,-164.5,2026-01-29T14:52:29.722Z
-163.05930099831124,73,-164.5,2026-01-29T14:52:29.723Z
-163.31497854544736,73,-164.5,2026-01-29T14:52:29.760Z
-163.58197853627604,73,-164.5,2026-01-29T14:52:29.762Z
-163.85516058136085,73,-164.5,2026-01-29T14:52:29.764Z
-164.1317180280695,73,-164.5,2026-01-29T14:52:29.765Z
-164.4101184440648,73,-164.5,2026-01-29T14:52:29.807Z
-164.6895251212906,73,-164.5,2026-01-29T14:52:29.808Z
-164.96948121714823,73,-164.5,2026-01-29T14:52:29.809Z
-165.24973729557885,73,-164.5,2026-01-29T14:52:29.809Z
-165.53015716449434,73,-164.5,2026-01-29T14:52:29.858Z
-165.81066646301454,73,-164.5,2026-01-29T14:52:29.859Z
-166.09122459009893,73,-164.5,2026-01-29T14:52:29.860Z
-166.37180937757938,73,-164.5,2026-01-29T14:52:29.862Z
-166.65240872163605,73,-164.5,2026-01-29T14:52:29.908Z
-166.93301601358334,73,-164.5,2026-01-29T14:52:29.909Z
-167.21362764507893,73,-164.5,2026-01-29T14:52:29.910Z
-167.4942416459679,73,-164.5,2026-01-29T14:52:29.911Z
-167.77485694054562,73,-164.5,2026-01-29T14:52:29.959Z
-168.0554729414774,73,-164.5,2026-01-29T14:52:29.959Z
-168.33608932807851,73,-164.5,2026-01-29T14:52:29.960Z
-168.43274814238168,73,-164.41700694980278,2026-01-29T14:52:33.676Z
-168.58218266929438,73,-164.28869969419787,2026-01-29T14:52:33.708Z
-168.76043273529191,73,-164.13565088244036,2026-01-29T14:52:33.736Z
-168.95441608562973,73,-163.96909318102354,2026-01-29T14:52:33.787Z
-169.15698980921735,73,-163.79515962585273,2026-01-29T14:52:33.840Z
-169.3593161843804,73,-163.6117724016368,2026-01-29T14:52:33.890Z
-169.56104328869296,73,-163.42274443767712,2026-01-29T14:52:33.940Z
-169.7,73,-163.23016003057054,2026-01-29T14:52:33.991Z
-169.7,73,-163.03902071942463,2026-01-29T14:52:34.043Z
-169.7,73,-162.86360190071616,2026-01-29T14:52:34.093Z
-169.7,73,-162.71509247315277,2026-01-29T14:52:34.144Z
-169.7,73,-162.60103276639222,2026-01-29T14:52:34.193Z
-169.82639546264483,73,-162.52278870626662,2026-01-29T14:52:34.245Z
-170.0227336582311,73,-162.47573236327955,2026-01-29T14:52:34.297Z
-170.5,73,-162.45637410553013,2026-01-29T14:52:34.349Z
-170.7,73.41999998688698,-162.4709405281737,2026-01-29T14:52:37.717Z
-170.7,73.7531999805212,-162.47982747663494,2026-01-29T14:52:37.769Z
-170.72547126864038,74.00133597911214,-162.48858158837754,2026-01-29T14:52:37.820Z
-170.77412697969876,74.16610926093821,-162.49694805250843,2026-01-29T14:52:37.869Z
-170.84388332748836,74.2,-162.50469494722594,2026-01-29T14:52:37.921Z
-170.93284081811368,74.12159999847412,-162.51154450402424,2026-01-29T14:52:37.971Z
-171.03926654639764,74,-162.51724398785205,2026-01-29T14:52:38.022Z
-171.5,74,-162.51776210781057,2026-01-29T14:52:38.076Z
-171.62737865762972,74,-162.51542751063275,2026-01-29T14:52:42.837Z
-171.8243060623253,74,-162.51309291345493,2026-01-29T14:52:42.888Z
-172.05920708291882,74,-162.5107583162771,2026-01-29T14:52:42.939Z
-172.3148277278511,74,-162.50775680105713,2026-01-29T14:52:42.990Z
-172.58168489858716,73.92159999847412,-162.50242184067437,2026-01-29T14:52:43.041Z
-172.7,73.76636799395752,-162.50235513426657,2026-01-29T14:52:43.092Z
-172.7,73.53584062504456,-162.50228842785876,2026-01-29T14:52:43.143Z
-172.7,73.23152379758702,-162.50222172145095,2026-01-29T14:52:43.193Z
